state,total_spending
AL,515657
AR,74000
CA,494618
CO,65000
DE,4200
FL,2435135
GA,308280
GU,483760
HI,415750
IA,154000
KY,414000
LA,29000
MD,4000
ME,1000
MI,5100
MS,1960
NC,562400
NE,319700
NJ,185600
NY,90000
OH,69000
OK,128056
PA,15500
PR,63000
TN,362100
TX,634900
UT,118000
VA,134120
WA,144690
