County,State,Total defense spending in (billions)
JASPER,SOUTH CAROLINA,$0.11B
LUBBOCK,TEXAS,$0.11B
SHEBOYGAN,WISCONSIN,$0.11B
LORAIN,OHIO,$0.11B
HERNANDO,FLORIDA,$0.11B
FLOYD,INDIANA,$0.11B
ALPENA,MICHIGAN,$0.11B
MESA,COLORADO,$0.11B
CLAY,MISSOURI,$0.11B
CAROLINA,PUERTO RICO,$0.11B
OROCOVIS,PUERTO RICO,$0.11B
JACKSON,MICHIGAN,$0.11B
BAXTER,ARKANSAS,$0.11B
SMYTH,VIRGINIA,$0.11B
CHAMPAIGN,OHIO,$0.11B
CAMPBELL,VIRGINIA,$0.11B
WAYNE,NEW YORK,$0.10B
MENIFEE,KENTUCKY,$0.10B
LITCHFIELD,CONNECTICUT,$0.10B
EAST FELICIANA,LOUISIANA,$0.10B
NO COUNTY LISTED,GUAM,$0.10B
EL DORADO,CALIFORNIA,$0.10B
DORCHESTER,MARYLAND,$0.10B
WASHINGTON,ARKANSAS,$0.10B
WYOMING,WEST VIRGINIA,$0.10B
GASTON,NORTH CAROLINA,$0.10B
HENDRY,FLORIDA,$0.10B
TULARE,CALIFORNIA,$0.10B
KANAWHA,WEST VIRGINIA,$0.10B
ARECIBO,PUERTO RICO,$0.10B
WOODBURY,IOWA,$0.10B
BUTLER,KANSAS,$0.10B
KOSCIUSKO,INDIANA,$0.10B
GALLATIN,MONTANA,$0.10B
MARION,FLORIDA,$0.10B
WEST FELICIANA,LOUISIANA,$0.10B
LYON,KENTUCKY,$0.10B
MUHLENBERG,KENTUCKY,$0.10B
TANGIPAHOA,LOUISIANA,$0.10B
HOOD RIVER,OREGON,$0.10B
COLUMBIA,WASHINGTON,$0.10B
RALLS,MISSOURI,$0.10B
BENTON,ARKANSAS,$0.10B
BROWN,ILLINOIS,$0.09B
SABANA GRANDE,PUERTO RICO,$0.09B
CAPE MAY,NEW JERSEY,$0.09B
COOS,OREGON,$0.09B
MCHENRY,ILLINOIS,$0.09B
RICHLAND,OHIO,$0.09B
NICOLLET,MINNESOTA,$0.09B
RICHMOND,NORTH CAROLINA,$0.09B
CADDO,LOUISIANA,$0.09B
JUNEAU,WISCONSIN,$0.09B
SANTA CRUZ,CALIFORNIA,$0.09B
POLK,FLORIDA,$0.09B
OLMSTED,MINNESOTA,$0.09B
CHAUTAUQUA,NEW YORK,$0.09B
PORTAGE,OHIO,$0.09B
PINAL,ARIZONA,$0.09B
LANCASTER,NEBRASKA,$0.08B
WAUPACA,WISCONSIN,$0.08B
COLUMBIANA,OHIO,$0.08B
GUANICA,PUERTO RICO,$0.08B
MEDINA,OHIO,$0.08B
MARTIN,FLORIDA,$0.08B
LUCAS,OHIO,$0.08B
BROWN,WISCONSIN,$0.08B
HENRICO,VIRGINIA,$0.08B
SAINT LOUIS,MINNESOTA,$0.08B
BUFFALO,WISCONSIN,$0.08B
STOREY,NEVADA,$0.08B
ALEUTIANS EAST,ALASKA,$0.08B
CHATTOOGA,GEORGIA,$0.08B
CARTERET,NORTH CAROLINA,$0.08B
CABELL,WEST VIRGINIA,$0.08B
BOONE,MISSOURI,$0.08B
KENAI PENINSULA,ALASKA,$0.08B
TRUMBULL,OHIO,$0.08B
GREENE,TENNESSEE,$0.08B
JAMES CITY,VIRGINIA,$0.08B
HANCOCK,INDIANA,$0.08B
SAUK,WISCONSIN,$0.08B
ATHENS,OHIO,$0.08B
SAN MIGUEL,NEW MEXICO,$0.08B
KENT,RHODE ISLAND,$0.08B
IOSCO,MICHIGAN,$0.08B
ESCAMBIA,ALABAMA,$0.08B
LABETTE,KANSAS,$0.08B
CASS,MICHIGAN,$0.08B
BELKNAP,NEW HAMPSHIRE,$0.08B
WORCESTER,MARYLAND,$0.08B
MEADE,KENTUCKY,$0.08B
RUTHERFORD,TENNESSEE,$0.07B
ORANGE,TEXAS,$0.07B
YAMHILL,OREGON,$0.07B
COOS,NEW HAMPSHIRE,$0.07B
PONCE,PUERTO RICO,$0.07B
SAIPAN,NORTHERN MARIANA ISLANDS,$0.07B
RICHMOND,NEW YORK,$0.07B
PEMISCOT,MISSOURI,$0.07B
CARTER,KENTUCKY,$0.07B
DEUEL,SOUTH DAKOTA,$0.07B
CONCORDIA,LOUISIANA,$0.07B
LOUDON,TENNESSEE,$0.07B
GLADES,FLORIDA,$0.07B
CABARRUS,NORTH CAROLINA,$0.07B
ST. LOUIS,MISSOURI,$0.07B
RICHMOND (CITY),VIRGINIA,$0.07B
HART,GEORGIA,$0.07B
TOLLAND,CONNECTICUT,$0.07B
BRYAN,GEORGIA,$0.07B
ALAMANCE,NORTH CAROLINA,$0.07B
RILEY,KANSAS,$0.07B
INDIANA,PENNSYLVANIA,$0.07B
MOORE,NORTH CAROLINA,$0.07B
FAUQUIER,VIRGINIA,$0.07B
TILLAMOOK,OREGON,$0.07B
MONO,CALIFORNIA,$0.07B
LINN,OREGON,$0.07B
BEDFORD,VIRGINIA,$0.07B
AGUADILLA,PUERTO RICO,$0.06B
MATAGORDA,TEXAS,$0.06B
GIBSON,TENNESSEE,$0.06B
AROOSTOOK,MAINE,$0.06B
AUGUSTA,VIRGINIA,$0.06B
STEUBEN,NEW YORK,$0.06B
NOME,ALASKA,$0.06B
COCONINO,ARIZONA,$0.06B
SARASOTA,FLORIDA,$0.06B
BERKELEY,WEST VIRGINIA,$0.06B
WASHINGTON,TENNESSEE,$0.06B
CLALLAM,WASHINGTON,$0.06B
LYNCHBURG CITY,VIRGINIA,$0.06B
SANGAMON,ILLINOIS,$0.06B
YORK,SOUTH CAROLINA,$0.06B
SUSSEX,DELAWARE,$0.06B
DELAWARE,OKLAHOMA,$0.06B
MORA,NEW MEXICO,$0.06B
TALBOT,MARYLAND,$0.06B
BASTROP,TEXAS,$0.06B
GREENE,MISSOURI,$0.06B
RENSSELAER,NEW YORK,$0.06B
CLEARWATER,IDAHO,$0.06B
PHILLIPS,ARKANSAS,$0.06B
WHARTON,TEXAS,$0.06B
MERRIMACK,NEW HAMPSHIRE,$0.06B
KOOTENAI,IDAHO,$0.06B
COLUMBIA,ARKANSAS,$0.06B
SAGINAW,MICHIGAN,$0.06B
BLADEN,NORTH CAROLINA,$0.06B
HAYS,TEXAS,$0.06B
CRAWFORD,MICHIGAN,$0.06B
PEARL RIVER,MISSISSIPPI,$0.06B
KENDALL,ILLINOIS,$0.06B
CLINTON,OHIO,$0.06B
ANDERSON,SOUTH CAROLINA,$0.06B
FRANKLIN,ALABAMA,$0.06B
LEE,MISSISSIPPI,$0.06B
BENTON,WASHINGTON,$0.06B
WICOMICO,MARYLAND,$0.06B
FAYETTE,PENNSYLVANIA,$0.06B
CHARLOTTESVILLE (CITY),VIRGINIA,$0.06B
COROZAL,PUERTO RICO,$0.06B
MADISON,LOUISIANA,$0.06B
BENTON,OREGON,$0.06B
CRAWFORD,PENNSYLVANIA,$0.06B
QUAY,NEW MEXICO,$0.06B
MADISON,NEW YORK,$0.06B
JACKSON,OREGON,$0.05B
AVOYELLES,LOUISIANA,$0.05B
HAMILTON,INDIANA,$0.05B
BALDWIN,ALABAMA,$0.05B
DOUGLAS,KANSAS,$0.05B
MUSKOGEE,OKLAHOMA,$0.05B
SANDOVAL,NEW MEXICO,$0.05B
DOUGLAS,WISCONSIN,$0.05B
LEVY,FLORIDA,$0.05B
HENRY,VIRGINIA,$0.05B
OSCEOLA,FLORIDA,$0.05B
SHERMAN,OREGON,$0.05B
FLATHEAD,MONTANA,$0.05B
LA SALLE,ILLINOIS,$0.05B
STRAFFORD,NEW HAMPSHIRE,$0.05B
FRANKLIN,INDIANA,$0.05B
ADAIR,OKLAHOMA,$0.05B
SUTTER,CALIFORNIA,$0.05B
PASQUOTANK,NORTH CAROLINA,$0.05B
MONTGOMERY,TEXAS,$0.05B
KING AND QUEEN,VIRGINIA,$0.05B
COWLITZ,WASHINGTON,$0.05B
SOMERSET,PENNSYLVANIA,$0.05B
WINDHAM,CONNECTICUT,$0.05B
FLOYD,KENTUCKY,$0.05B
DUKES,MASSACHUSETTS,$0.05B
KERR,TEXAS,$0.05B
HANCOCK,MAINE,$0.05B
HUNTERDON,NEW JERSEY,$0.05B
POTTAWATOMIE,OKLAHOMA,$0.05B
NORTHAMPTON,VIRGINIA,$0.05B
SITKA,ALASKA,$0.05B
GEAUGA,OHIO,$0.05B
JEFFERSON,WASHINGTON,$0.05B
FRANKLIN,WASHINGTON,$0.05B
WASHINGTON,VERMONT,$0.05B
ALEXANDER,ILLINOIS,$0.05B
WASHINGTON,MINNESOTA,$0.05B
WASHINGTON,MARYLAND,$0.05B
HASKELL,OKLAHOMA,$0.05B
VALLEY,MONTANA,$0.05B
DICKINSON,MICHIGAN,$0.05B
SKAMANIA,WASHINGTON,$0.05B
FULTON,PENNSYLVANIA,$0.05B
TIPTON,TENNESSEE,$0.05B
PRESTON,WEST VIRGINIA,$0.05B
WINONA,MINNESOTA,$0.05B
MONTGOMERY,NORTH CAROLINA,$0.05B
WAYNE,OHIO,$0.04B
OKEECHOBEE,FLORIDA,$0.04B
POPE,ARKANSAS,$0.04B
TAZEWELL,ILLINOIS,$0.04B
MADISON,NEBRASKA,$0.04B
MISSISSIPPI,ARKANSAS,$0.04B
FRANKLIN,KENTUCKY,$0.04B
POTTAWATTAMIE,IOWA,$0.04B
RANKIN,MISSISSIPPI,$0.04B
HUMBOLDT,CALIFORNIA,$0.04B
HARNETT,NORTH CAROLINA,$0.04B
CARSON CITY,NEVADA,$0.04B
SAINT CHARLES,LOUISIANA,$0.04B
GARRETT,MARYLAND,$0.04B
RACINE,WISCONSIN,$0.04B
SHELBY,ILLINOIS,$0.04B
COOKE,TEXAS,$0.04B
NO COUNTY LISTED,MICRONESIA,$0.04B
LEFLORE,MISSISSIPPI,$0.04B
BARTOW,GEORGIA,$0.04B
SAN JUAN,COLORADO,$0.04B
OTOE,NEBRASKA,$0.04B
SILVER BOW,MONTANA,$0.04B
HORRY,SOUTH CAROLINA,$0.04B
CALDWELL,NORTH CAROLINA,$0.04B
SAINT CLAIR,MICHIGAN,$0.04B
LYON,NEVADA,$0.04B
GREATER BRIDGEPORT,CONNECTICUT,$0.04B
GRAND TRAVERSE,MICHIGAN,$0.04B
DESCHUTES,OREGON,$0.04B
LEE,ARKANSAS,$0.04B
LINCOLN,MONTANA,$0.04B
ROBESON,NORTH CAROLINA,$0.04B
COLE,MISSOURI,$0.04B
SHERBURNE,MINNESOTA,$0.04B
OUACHITA,LOUISIANA,$0.04B
MASON,WASHINGTON,$0.04B
GRUNDY,MISSOURI,$0.04B
KNOX,INDIANA,$0.04B
COWETA,GEORGIA,$0.04B
GLENN,CALIFORNIA,$0.04B
ELK,PENNSYLVANIA,$0.04B
ORANGE,VERMONT,$0.04B
RUSH,INDIANA,$0.04B
NOTTOWAY,VIRGINIA,$0.04B
WARREN,PENNSYLVANIA,$0.04B
NICHOLAS,WEST VIRGINIA,$0.04B
MORRISON,MINNESOTA,$0.04B
SHERIDAN,WYOMING,$0.04B
ASHTABULA,OHIO,$0.04B
MAHONING,OHIO,$0.04B
WASHINGTON,UTAH,$0.04B
EATON,MICHIGAN,$0.04B
LAKE,FLORIDA,$0.04B
GRAVES,KENTUCKY,$0.04B
WASHBURN,WISCONSIN,$0.04B
PACIFIC,WASHINGTON,$0.04B
HAWKINS,TENNESSEE,$0.04B
WILLACY,TEXAS,$0.04B
BRADFORD,FLORIDA,$0.04B
FRANKLIN,MASSACHUSETTS,$0.04B
STARK,OHIO,$0.04B
BRADLEY,TENNESSEE,$0.04B
MATANUSKA SUSITNA,ALASKA,$0.04B
SCIOTO,OHIO,$0.04B
PARKER,TEXAS,$0.04B
GLOUCESTER,VIRGINIA,$0.04B
HENDRICKS,INDIANA,$0.03B
SAUNDERS,NEBRASKA,$0.03B
ROCKINGHAM,VIRGINIA,$0.03B
TISHOMINGO,MISSISSIPPI,$0.03B
JOHNSON,TEXAS,$0.03B
VIGO,INDIANA,$0.03B
SAINT FRANCOIS,MISSOURI,$0.03B
CATTARAUGUS,NEW YORK,$0.03B
MISSOULA,MONTANA,$0.03B
WASCO,OREGON,$0.03B
WALKER,TEXAS,$0.03B
DANVILLE CITY,VIRGINIA,$0.03B
RUTLAND,VERMONT,$0.03B
CLARKE,GEORGIA,$0.03B
PIERCE,WISCONSIN,$0.03B
ADAMS,ILLINOIS,$0.03B
GILES,VIRGINIA,$0.03B
DOUGLAS,GEORGIA,$0.03B
NEW MADRID,MISSOURI,$0.03B
JACKSON,ILLINOIS,$0.03B
BINGHAM,IDAHO,$0.03B
ERIE,OHIO,$0.03B
GRANT,WASHINGTON,$0.03B
GARLAND,ARKANSAS,$0.03B
CATANO,PUERTO RICO,$0.03B
ANTRIM,MICHIGAN,$0.03B
FLAGLER,FLORIDA,$0.03B
HUNTINGDON,PENNSYLVANIA,$0.03B
THURSTON,NEBRASKA,$0.03B
CARROLL,GEORGIA,$0.03B
CALLAWAY,MISSOURI,$0.03B
LUMPKIN,GEORGIA,$0.03B
KENNEBEC,MAINE,$0.03B
GRAYS HARBOR,WASHINGTON,$0.03B
PORTER,INDIANA,$0.03B
NO COUNTY LISTED,MISSISSIPPI,$0.03B
OSWEGO,NEW YORK,$0.03B
LAURENS,GEORGIA,$0.03B
MARION,IOWA,$0.03B
GRANT,LOUISIANA,$0.03B
SHASTA,CALIFORNIA,$0.03B
LEWIS AND CLARK,MONTANA,$0.03B
TIFT,GEORGIA,$0.03B
NELSON,KENTUCKY,$0.03B
KING WILLIAM,VIRGINIA,$0.03B
POLK,WISCONSIN,$0.03B
MCCORMICK,SOUTH CAROLINA,$0.03B
GARFIELD,WASHINGTON,$0.03B
WASHINGTON,MISSISSIPPI,$0.03B
MECKLENBURG,VIRGINIA,$0.03B
CLINTON,ILLINOIS,$0.03B
HENDERSON,KENTUCKY,$0.03B
POINTE COUPEE,LOUISIANA,$0.03B
BLANCO,TEXAS,$0.03B
MERCED,CALIFORNIA,$0.03B
KODIAK ISLAND,ALASKA,$0.03B
JASPER,TEXAS,$0.03B
HUGHES,SOUTH DAKOTA,$0.03B
WINDSOR,VERMONT,$0.03B
MASON,WEST VIRGINIA,$0.03B
GUAYNABO,PUERTO RICO,$0.03B
TANEY,MISSOURI,$0.03B
PITTSYLVANIA,VIRGINIA,$0.03B
CEIBA,PUERTO RICO,$0.03B
SALINAS,PUERTO RICO,$0.03B
CLEVELAND,NORTH CAROLINA,$0.03B
BOONE,ILLINOIS,$0.03B
COVINGTON,ALABAMA,$0.03B
BRISTOL BAY,ALASKA,$0.03B
BOONE,INDIANA,$0.03B
ORANGEBURG,SOUTH CAROLINA,$0.03B
WALTON,FLORIDA,$0.03B
VERMILION,LOUISIANA,$0.03B
BUFFALO,SOUTH DAKOTA,$0.03B
BRISTOL,RHODE ISLAND,$0.03B
STORY,IOWA,$0.03B
HARRISON,TEXAS,$0.03B
CANADIAN,OKLAHOMA,$0.03B
BLAIR,PENNSYLVANIA,$0.03B
CALLOWAY,KENTUCKY,$0.03B
CAMPBELL,TENNESSEE,$0.03B
PAULDING,GEORGIA,$0.03B
YAZOO,MISSISSIPPI,$0.03B
TUSCARAWAS,OHIO,$0.03B
CAMERON,LOUISIANA,$0.03B
FRANKLIN,TENNESSEE,$0.03B
WASHINGTON,NEW YORK,$0.03B
KETCHIKAN GATEWAY,ALASKA,$0.03B
BULLOCH,GEORGIA,$0.03B
HOUSTON,ALABAMA,$0.03B
PHELPS,MISSOURI,$0.03B
WINCHESTER CITY,VIRGINIA,$0.02B
GILLESPIE,TEXAS,$0.02B
CARBON,PENNSYLVANIA,$0.02B
HARRISON,WEST VIRGINIA,$0.02B
CALHOUN,TEXAS,$0.02B
JEFFERSON,WISCONSIN,$0.02B
JUANA DIAZ,PUERTO RICO,$0.02B
GREEN LAKE,WISCONSIN,$0.02B
DUNKLIN,MISSOURI,$0.02B
CLAY,MINNESOTA,$0.02B
JESSAMINE,KENTUCKY,$0.02B
SMITH,TENNESSEE,$0.02B
OTTAWA,OHIO,$0.02B
COLBERT,ALABAMA,$0.02B
NORTHUMBERLAND,VIRGINIA,$0.02B
PATRICK,VIRGINIA,$0.02B
SMITH,TEXAS,$0.02B
OHIO,WEST VIRGINIA,$0.02B
YAKUTAT,ALASKA,$0.02B
CHESHIRE,NEW HAMPSHIRE,$0.02B
LAMOURE,NORTH DAKOTA,$0.02B
FULTON,KENTUCKY,$0.02B
BURNETT,WISCONSIN,$0.02B
CANYON,IDAHO,$0.02B
EAU CLAIRE,WISCONSIN,$0.02B
BURKE,NORTH CAROLINA,$0.02B
SABINE,LOUISIANA,$0.02B
SALEM,VIRGINIA,$0.02B
MONROE,MICHIGAN,$0.02B
TALLAHATCHIE,MISSISSIPPI,$0.02B
GENESEE,MICHIGAN,$0.02B
LINCOLN,MISSOURI,$0.02B
WASHINGTON,OHIO,$0.02B
NO COUNTY LISTED,VIRGIN ISLANDS,$0.02B
CULPEPER,VIRGINIA,$0.02B
CRITTENDEN,ARKANSAS,$0.02B
YUKON KOYUKUK,ALASKA,$0.02B
FRANKLIN,ILLINOIS,$0.02B
CLAY,TEXAS,$0.02B
PIKE,MISSOURI,$0.02B
BUFFALO,NEBRASKA,$0.02B
CARROLL,ARKANSAS,$0.02B
ST. JOSEPH,INDIANA,$0.02B
HARLAN,NEBRASKA,$0.02B
STARK,NORTH DAKOTA,$0.02B
BREMER,IOWA,$0.02B
ORLEANS,VERMONT,$0.02B
BONNER,IDAHO,$0.02B
CLAYTON,IOWA,$0.02B
CARROLL,ILLINOIS,$0.02B
PRAIRIE,ARKANSAS,$0.02B
NYE,NEVADA,$0.02B
HIGHLANDS,FLORIDA,$0.02B
SAINT LAWRENCE,NEW YORK,$0.02B
CHICOT,ARKANSAS,$0.02B
MARQUETTE,MICHIGAN,$0.02B
MCLEAN,NORTH DAKOTA,$0.02B
GRUNDY,ILLINOIS,$0.02B
JUNEAU,ALASKA,$0.02B
CLINTON,NEW YORK,$0.02B
WILKIN,MINNESOTA,$0.02B
MARSHALL,ALABAMA,$0.02B
FREDERICK,VIRGINIA,$0.02B
CHARLOTTE,FLORIDA,$0.02B
CROSS,ARKANSAS,$0.02B
TROUP,GEORGIA,$0.02B
SAINT LANDRY,LOUISIANA,$0.02B
ASSUMPTION,LOUISIANA,$0.02B
HARLAN,KENTUCKY,$0.02B
SANDUSKY,OHIO,$0.02B
SOMERSET,MARYLAND,$0.02B
DALLAS,IOWA,$0.02B
BURLEIGH,NORTH DAKOTA,$0.02B
LEXINGTON CITY,VIRGINIA,$0.02B
THURSTON,WASHINGTON,$0.02B
PANOLA,MISSISSIPPI,$0.02B
DONIPHAN,KANSAS,$0.02B
DOUGLAS,NEVADA,$0.02B
BOSQUE,TEXAS,$0.02B
MIDLAND,MICHIGAN,$0.02B
SENECA,NEW YORK,$0.02B
SALINE,MISSOURI,$0.02B
AMERICAN SAMOA,AMERICAN SAMOA,$0.02B
WAYNE,PENNSYLVANIA,$0.02B
CURRITUCK,NORTH CAROLINA,$0.02B
FRANKLIN,ARKANSAS,$0.02B
DUBOIS,INDIANA,$0.02B
NASSAU,FLORIDA,$0.02B
DOOR,WISCONSIN,$0.02B
OLDHAM,KENTUCKY,$0.02B
CHEROKEE,ALABAMA,$0.02B
FOND DU LAC,WISCONSIN,$0.02B
DARE,NORTH CAROLINA,$0.02B
GRAYSON,TEXAS,$0.02B
TAYLOR,KENTUCKY,$0.02B
JOHNSON,KENTUCKY,$0.02B
BERRIEN,MICHIGAN,$0.02B
DEER LODGE,MONTANA,$0.02B
MORGAN,INDIANA,$0.02B
WORTH,GEORGIA,$0.02B
RANDOLPH,ILLINOIS,$0.02B
IBERVILLE,LOUISIANA,$0.02B
CATAWBA,NORTH CAROLINA,$0.02B
STANLY,NORTH CAROLINA,$0.02B
FAYETTE,WEST VIRGINIA,$0.02B
LEFLORE,OKLAHOMA,$0.02B
LA PAZ,ARIZONA,$0.02B
CLAY,GEORGIA,$0.02B
HARDIN,OHIO,$0.02B
MONTGOMERY,NEW YORK,$0.02B
RAMSEY,NORTH DAKOTA,$0.02B
SEMINOLE,OKLAHOMA,$0.02B
NO COUNTY LISTED,NORTHERN MARIANA ISLANDS,$0.02B
CLEBURNE,ARKANSAS,$0.02B
NEWTON,MISSOURI,$0.02B
YELL,ARKANSAS,$0.02B
JIM WELLS,TEXAS,$0.02B
DESHA,ARKANSAS,$0.02B
TENSAS,LOUISIANA,$0.02B
CALUMET,WISCONSIN,$0.02B
CHARITON,MISSOURI,$0.02B
CAPE GIRARDEAU,MISSOURI,$0.02B
JEFFERSON,ILLINOIS,$0.02B
OTSEGO,NEW YORK,$0.02B
GALLATIN,KENTUCKY,$0.02B
BARRY,MICHIGAN,$0.02B
KEWAUNEE,WISCONSIN,$0.02B
MANITOWOC,WISCONSIN,$0.02B
ADAMS,INDIANA,$0.02B
ORLEANS,NEW YORK,$0.02B
BALLARD,KENTUCKY,$0.02B
WASATCH,UTAH,$0.02B
WELD,COLORADO,$0.02B
OSCEOLA,MICHIGAN,$0.02B
GIBSON,INDIANA,$0.02B
MARION,WEST VIRGINIA,$0.02B
CASS,MISSOURI,$0.02B
CHIPPEWA,MINNESOTA,$0.02B
GADSDEN,FLORIDA,$0.02B
ASOTIN,WASHINGTON,$0.02B
MORGAN,WEST VIRGINIA,$0.02B
LOUISA,VIRGINIA,$0.02B
FAYETTE,TENNESSEE,$0.02B
MARSHALL,INDIANA,$0.02B
CLAY,TENNESSEE,$0.02B
CERRO GORDO,IOWA,$0.02B
SAINT BERNARD,LOUISIANA,$0.02B
PUTNAM,TENNESSEE,$0.02B
CHARLEVOIX,MICHIGAN,$0.02B
MERCER,PENNSYLVANIA,$0.02B
LEWIS,NEW YORK,$0.01B
STEARNS,MINNESOTA,$0.01B
WEBSTER,LOUISIANA,$0.01B
COLES,ILLINOIS,$0.01B
DYER,TENNESSEE,$0.01B
MUSKINGUM,OHIO,$0.01B
LAUDERDALE,ALABAMA,$0.01B
BENTON,MISSOURI,$0.01B
PLATTE,WYOMING,$0.01B
MASON,MICHIGAN,$0.01B
HIGHLAND,OHIO,$0.01B
YELLOWSTONE,MONTANA,$0.01B
GREENSVILLE,VIRGINIA,$0.01B
CROW WING,MINNESOTA,$0.01B
WASHINGTON,TEXAS,$0.01B
BURKE,GEORGIA,$0.01B
BOONE,ARKANSAS,$0.01B
DICKENSON,VIRGINIA,$0.01B
HICKMAN,KENTUCKY,$0.01B
MCDOWELL,WEST VIRGINIA,$0.01B
SAINT CROIX,WISCONSIN,$0.01B
ADJUNTAS,PUERTO RICO,$0.01B
LAS ANIMAS,COLORADO,$0.01B
MADISON,TENNESSEE,$0.01B
LAFAYETTE,LOUISIANA,$0.01B
ALLEGANY,NEW YORK,$0.01B
CLAY,INDIANA,$0.01B
TATE,MISSISSIPPI,$0.01B
EFFINGHAM,GEORGIA,$0.01B
WARREN,TENNESSEE,$0.01B
LAKE,TENNESSEE,$0.01B
SAINT CROIX,VIRGIN ISLANDS OF THE U.S.,$0.01B
ALLEGAN,MICHIGAN,$0.01B
BUREAU,ILLINOIS,$0.01B
CHEMUNG,NEW YORK,$0.01B
SALINE,KANSAS,$0.01B
YANKTON,SOUTH DAKOTA,$0.01B
FRANKLIN,FLORIDA,$0.01B
TETON,WYOMING,$0.01B
ELLIS,TEXAS,$0.01B
MARSHALL,KANSAS,$0.01B
OZAUKEE,WISCONSIN,$0.01B
CHENANGO,NEW YORK,$0.01B
GRENADA,MISSISSIPPI,$0.01B
ROANE,TENNESSEE,$0.01B
ISABELA,PUERTO RICO,$0.01B
BUTLER,MISSOURI,$0.01B
SOUTHEAST FAIRBANKS (CA),ALASKA,$0.01B
LAWRENCE,OHIO,$0.01B
SUMTER,FLORIDA,$0.01B
LINCOLN,OKLAHOMA,$0.01B
WAYNE,MISSOURI,$0.01B
GOODHUE,MINNESOTA,$0.01B
DAWSON,NEBRASKA,$0.01B
LAWRENCE,SOUTH DAKOTA,$0.01B
GREENUP,KENTUCKY,$0.01B
MATHEWS,VIRGINIA,$0.01B
LOS ALAMOS,NEW MEXICO,$0.01B
LA PORTE,INDIANA,$0.01B
MCKEAN,PENNSYLVANIA,$0.01B
CAYUGA,NEW YORK,$0.01B
BULLOCK,ALABAMA,$0.01B
VAN BUREN,TENNESSEE,$0.01B
WABASH,INDIANA,$0.01B
POQUOSON CITY,VIRGINIA,$0.01B
MENDOCINO,CALIFORNIA,$0.01B
PUTNAM,FLORIDA,$0.01B
ST. CLAIR,ILLINOIS,$0.01B
DUBUQUE,IOWA,$0.01B
KAY,OKLAHOMA,$0.01B
BENT,COLORADO,$0.01B
MERCER,WEST VIRGINIA,$0.01B
LOWNDES,ALABAMA,$0.01B
NAPA,CALIFORNIA,$0.01B
SHELBY,INDIANA,$0.01B
UNION,KENTUCKY,$0.01B
CHIPPEWA,WISCONSIN,$0.01B
LIVINGSTON,NEW YORK,$0.01B
MARION,ARKANSAS,$0.01B
MURRAY,GEORGIA,$0.01B
WYOMING,NEW YORK,$0.01B
HENRY,GEORGIA,$0.01B
IRON,UTAH,$0.01B
MECOSTA,MICHIGAN,$0.01B
CHEROKEE,OKLAHOMA,$0.01B
ARANSAS,TEXAS,$0.01B
LEWIS,MISSOURI,$0.01B
CARVER,MINNESOTA,$0.01B
WAYNE,NEBRASKA,$0.01B
HAMBLEN,TENNESSEE,$0.01B
ADAIR,MISSOURI,$0.01B
AGUADA,PUERTO RICO,$0.01B
CADDO,OKLAHOMA,$0.01B
HANCOCK,WEST VIRGINIA,$0.01B
ELBERT,GEORGIA,$0.01B
CEDAR,NEBRASKA,$0.01B
STEPHENS,OKLAHOMA,$0.01B
BEDFORD,PENNSYLVANIA,$0.01B
AIKEN,SOUTH CAROLINA,$0.01B
COLUMBUS,NORTH CAROLINA,$0.01B
FAIRFIELD,OHIO,$0.01B
MOORE,TENNESSEE,$0.01B
JEFFERSON,INDIANA,$0.01B
ADAMS,MISSISSIPPI,$0.01B
AUGLAIZE,OHIO,$0.01B
WARREN,KENTUCKY,$0.01B
DAWSON,MONTANA,$0.01B
LANCASTER,SOUTH CAROLINA,$0.01B
PLATTE,MISSOURI,$0.01B
LINCOLN,LOUISIANA,$0.01B
UNION,SOUTH CAROLINA,$0.01B
SAINT THOMAS,VIRGIN ISLANDS OF THE U.S.,$0.01B
NORTHUMBERLAND,PENNSYLVANIA,$0.01B
MCMINN,TENNESSEE,$0.01B
CLINTON,IOWA,$0.01B
CRAWFORD,OHIO,$0.01B
MCCURTAIN,OKLAHOMA,$0.01B
WHITE,INDIANA,$0.01B
COPIAH,MISSISSIPPI,$0.01B
SOUTH CENTRAL CONNECTICUT,CONNECTICUT,$0.01B
PERRY,INDIANA,$0.01B
SUBLETTE,WYOMING,$0.01B
ADAMS,NEBRASKA,$0.01B
HOPKINS,KENTUCKY,$0.01B
MOUNTRAIL,NORTH DAKOTA,$0.01B
SAINT JAMES,LOUISIANA,$0.01B
CHAVES,NEW MEXICO,$0.01B
KNOTT,KENTUCKY,$0.01B
BLAINE,IDAHO,$0.01B
ASCENSION,LOUISIANA,$0.01B
CREEK,OKLAHOMA,$0.01B
GREENE,VIRGINIA,$0.01B
MCINTOSH,GEORGIA,$0.01B
MERCER,ILLINOIS,$0.01B
PERSON,NORTH CAROLINA,$0.01B
MARION,KANSAS,$0.01B
HALL,NEBRASKA,$0.01B
LAMAR,TEXAS,$0.01B
CASS,NEBRASKA,$0.01B
HENRY,ILLINOIS,$0.01B
DAVIDSON,NORTH CAROLINA,$0.01B
CALEDONIA,VERMONT,$0.01B
DE KALB,INDIANA,$0.01B
KNOX,NEBRASKA,$0.01B
MAYES,OKLAHOMA,$0.01B
KERSHAW,SOUTH CAROLINA,$0.01B
ALBANY,WYOMING,$0.01B
