County,State,Total defense spending in (billions)
ESCAMBIA,FLORIDA,$2.16B
BRISTOL,MASSACHUSETTS,$2.16B
CUMBERLAND,MAINE,$2.13B
LUZERNE,PENNSYLVANIA,$2.13B
CHRISTIAN,KENTUCKY,$2.12B
CHIPPEWA,MICHIGAN,$2.08B
NO COUNTY LISTED,CALIFORNIA,$2.07B
MADISON,KENTUCKY,$2.06B
ALAMEDA,CALIFORNIA,$2.02B
ANOKA,MINNESOTA,$2.01B
QUEEN ANNES,MARYLAND,$1.98B
RIVERSIDE,CALIFORNIA,$1.97B
PUEBLO,COLORADO,$1.93B
ONEIDA,NEW YORK,$1.91B
ROCKINGHAM,NEW HAMPSHIRE,$1.91B
SOLANO,CALIFORNIA,$1.90B
CHESAPEAKE CITY,VIRGINIA,$1.88B
NUECES,TEXAS,$1.87B
VERNON,LOUISIANA,$1.83B
BERKSHIRE,MASSACHUSETTS,$1.82B
PALM BEACH,FLORIDA,$1.81B
SAN JUAN,PUERTO RICO,$1.81B
ORANGE,NEW YORK,$1.79B
CHATTAHOOCHEE,GEORGIA,$1.78B
ROCKWALL,TEXAS,$1.78B
DAUPHIN,PENNSYLVANIA,$1.75B
RICHLAND,SOUTH CAROLINA,$1.74B
MULTNOMAH,OREGON,$1.73B
CHATHAM,GEORGIA,$1.72B
WAYNE,MICHIGAN,$1.70B
WARREN,MISSISSIPPI,$1.68B
PASSAIC,NEW JERSEY,$1.66B
SULLIVAN,TENNESSEE,$1.63B
STAFFORD,VIRGINIA,$1.62B
DES MOINES,IOWA,$1.61B
PULASKI,MISSOURI,$1.55B
BUTLER,OHIO,$1.55B
CAMDEN,NEW JERSEY,$1.54B
SNOHOMISH,WASHINGTON,$1.54B
WILLIAMSON,ILLINOIS,$1.54B
CHITTENDEN,VERMONT,$1.53B
CENTRE,PENNSYLVANIA,$1.53B
SUMTER,SOUTH CAROLINA,$1.52B
CALHOUN,ALABAMA,$1.51B
TULSA,OKLAHOMA,$1.50B
MCLENNAN,TEXAS,$1.48B
MONMOUTH,NEW JERSEY,$1.48B
OAKLAND,MICHIGAN,$1.46B
NO COUNTY LISTED,MARSHALL ISLANDS,$1.44B
MEADE,SOUTH DAKOTA,$1.42B
NORFOLK,MASSACHUSETTS,$1.42B
SUFFOLK CITY,VIRGINIA,$1.40B
CHARLES,MARYLAND,$1.38B
CORYELL,TEXAS,$1.37B
OTERO,NEW MEXICO,$1.36B
COMANCHE,OKLAHOMA,$1.36B
PRINCE GEORGE,VIRGINIA,$1.36B
BROWARD,FLORIDA,$1.31B
ERIE,NEW YORK,$1.31B
SAN JOAQUIN,CALIFORNIA,$1.31B
BOULDER,COLORADO,$1.30B
HARRISON,MISSISSIPPI,$1.30B
WHITLEY,INDIANA,$1.27B
PLYMOUTH,MASSACHUSETTS,$1.26B
ROCK,WISCONSIN,$1.26B
ALLEN,INDIANA,$1.21B
SAINT LOUIS CITY,MISSOURI,$1.21B
HANOVER,VIRGINIA,$1.21B
WICHITA,TEXAS,$1.20B
DONA ANA,NEW MEXICO,$1.19B
BOWIE,TEXAS,$1.18B
CHURCHILL,NEVADA,$1.15B
CUYAHOGA,OHIO,$1.13B
MONTEREY,CALIFORNIA,$1.12B
LEAVENWORTH,KANSAS,$1.09B
MUSKEGON,MICHIGAN,$1.08B
DANE,WISCONSIN,$1.07B
MAUI,HAWAII,$1.06B
BOSSIER,LOUISIANA,$1.05B
MILWAUKEE,WISCONSIN,$0.99B
COWLEY,KANSAS,$0.99B
MIDDLESEX,NEW JERSEY,$0.99B
SOMERSET,NEW JERSEY,$0.98B
YUBA,CALIFORNIA,$0.96B
LICKING,OHIO,$0.95B
JEFFERSON,COLORADO,$0.95B
FAIRFAX CITY,VIRGINIA,$0.94B
SAN MATEO,CALIFORNIA,$0.94B
VANDERBURGH,INDIANA,$0.94B
SAN FRANCISCO,CALIFORNIA,$0.93B
NO COUNTY LISTED,NEW YORK,$0.92B
WAKE,NORTH CAROLINA,$0.92B
GWINNETT,GEORGIA,$0.92B
WASHTENAW,MICHIGAN,$0.92B
PULASKI,ARKANSAS,$0.91B
