State,Total defense spending in (billions)
VIRGINIA,$50.78B
CALIFORNIA,$39.58B
TEXAS,$39.05B
NO STATE LISTED,$26.99B
FLORIDA,$24.87B
PENNSYLVANIA,$21.83B
CONNECTICUT,$19.48B
MARYLAND,$18.96B
ARIZONA,$15.52B
MASSACHUSETTS,$14.68B
ALABAMA,$13.34B
MISSOURI,$12.80B
KENTUCKY,$11.59B
NEW YORK,$11.18B
COLORADO,$9.25B
WASHINGTON,$9.22B
ILLINOIS,$8.34B
DISTRICT OF COLUMBIA,$7.84B
NEW JERSEY,$6.97B
GEORGIA,$6.83B
OHIO,$5.98B
UTAH,$5.93B
MISSISSIPPI,$5.87B
MICHIGAN,$5.61B
HAWAII,$5.22B
INDIANA,$4.27B
WISCONSIN,$4.07B
OKLAHOMA,$4.01B
NORTH CAROLINA,$3.82B
MAINE,$3.50B
SOUTH CAROLINA,$3.44B
LOUISIANA,$2.90B
NEW HAMPSHIRE,$2.61B
TENNESSEE,$2.52B
IOWA,$2.51B
GUAM,$2.50B
ALASKA,$2.36B
NEVADA,$2.12B
KANSAS,$1.72B
MINNESOTA,$1.67B
ARKANSAS,$1.42B
NEW MEXICO,$1.41B
PUERTO RICO,$1.10B
RHODE ISLAND,$1.09B
OREGON,$1.04B
SOUTH DAKOTA,$0.84B
VERMONT,$0.71B
NEBRASKA,$0.65B
WEST VIRGINIA,$0.63B
MARSHALL ISLANDS,$0.48B
NORTH DAKOTA,$0.44B
MONTANA,$0.39B
IDAHO,$0.35B
WYOMING,$0.29B
DELAWARE,$0.22B
NORTHERN MARIANA ISLANDS,$0.11B
PALAU,$0.03B
AMERICAN SAMOA,$0.02B
MICRONESIA,$0.01B
VIRGIN ISLANDS OF THE U.S.,$0.01B
VIRGIN ISLANDS,$0.01B
FEDERATED STATES OF MICRONESIA,$0.00B
